ge_ect	ge_end	ge_mes	gene_type
-9.62	-8.14	-3.86	DifMes
-9.96	-8.32	-5.87	DifMes
-5.24	-8.86	-1.09	DifMes
-7	-6.68	-2.41	DifMes
-7.66	-6.18	-3.25	DifMes
-5.45	-8.03	-4.07	DifMes
-4.78	-6.46	-0.27	DifMes
-1.43	-0.73	2.52	DifMes
-1.97	-4.07	-0.82	DifMes
-9.07	-7.6	-3.06	DifMes
-5.74	-7.87	-2.72	DifMes
0.29	0.08	2.56	DifMes
-4.66	-7.72	-3.08	DifMes
-6.27	-10.12	-5.09	DifMes
-2.16	-4.11	-0.97	DifMes
-2.23	-4.13	-0.29	DifMes
-5.74	-8.8	-1.96	DifMes
-3.64	-8.04	-1.71	DifMes
-3.95	-5.04	-0.73	DifMes
-5.24	-6.5	-3.52	DifMes
-3.64	-8.52	-1.38	DifMes
-3.45	-8	-2.04	DifMes
-8.47	-6.99	-1.7	DifMes
-8.19	-6.71	-1.15	DifMes
-8.52	-7.04	-3.44	DifMes
-7.86	-8.12	-6.03	DifMes
-0.22	-1.75	1.25	DifMes
-8.57	-12.3	-7.35	DifMes
-7.88	-6.4	-4.03	DifMes
-0.03	-0.59	1.82	DifMes
-9.66	-8.18	-6.09	DifMes
-1.96	0.17	3.59	DifMes
1.09	0.35	3.02	DifMes
-9.5	-8.02	-3.69	DifMes
-5.57	-7.24	-2.67	DifMes
-1.26	-3.27	-0.04	DifMes
-8.42	-6.94	-4.96	DifMes
-0.77	0.08	2.39	DifMes
-2	-6.17	-0.8	DifMes
-9.34	-8.02	-3.78	DifMes
-2.07	-2.79	-0.16	DifMes
-4.77	-7.14	-2.55	DifMes
-8.2	-6.72	-1.71	DifMes
-5.4	-5.37	-0.48	DifMes
-6.6	-5.12	-2.83	DifMes
-6.53	-5.05	-1.72	DifMes
-0.09	-1.28	1.63	DifMes
-2.64	-4.57	-1.44	DifMes
-3.55	-7.58	-1.08	DifMes
-5.54	-7.68	-2.85	DifMes
-1.45	-4.67	3	DifMes
-9.44	-7.96	-3.5	DifMes
-7.04	-5.56	-2.96	DifMes
-6.36	-7.35	-2.75	DifMes
2.08	2.19	5.89	DifMes
-9.15	-7.67	-1.63	DifMes
-6.06	-6.74	-4.2	DifMes
-5.51	-5.41	-3.28	DifMes
0.4	-0.69	1.6	DifMes
-8.78	-2.34	1.02	DifMes
-1.21	-7.85	0.44	DifMes
-7.89	-6.41	-3.6	DifMes
-3.26	-4.94	0.16	DifMes
-8.08	-6.6	-2.14	DifMes
-7.3	-5.83	0.81	DifMes
-8.78	-7.3	-5.21	DifMes
2.45	1.46	4.06	DifMes
-4.43	-6.93	-3.25	DifMes
2.33	3.59	5.95	DifMes
-7.08	-8.56	-4.36	DifMes
-7.34	-8.01	-2.27	DifMes
-7.52	-6.04	-2	DifMes
-8.84	-7.36	1.76	DifMes
-2.29	-3.33	0.64	DifMes
-6.36	-6.62	-3.42	DifMes
1.56	0.72	3.67	DifMes
-0.55	-1.07	2.02	DifMes
-6.98	-7.65	-5.66	DifMes
-8.54	-7.21	-4.4	DifMes
-5.43	-8.11	-1.91	DifMes
-1.96	-2.43	0.36	DifMes
-2.19	-6.26	-0.75	DifMes
-8.89	-7.41	-4.73	DifMes
-6.51	-5.03	-2.36	DifMes
-6.73	-5.1	-2.72	DifMes
-9.87	-8.4	-4.62	DifMes
-10.55	-9.07	-4.2	DifMes
-8.93	-7.45	-4.52	DifMes
-8.1	-6.77	-1.27	DifMes
-7.98	-7.66	-2.4	DifMes
-2.57	-4.42	-1.13	DifMes
-1.3	-2.02	0.65	DifMes
-2.38	-4.18	-0.89	DifMes
-1.35	-5.25	0.37	DifMes
1.94	1.06	3.05	DifMes
-8.8	-7.32	-4.87	DifMes
1.97	1.18	3.18	DifMes
-7.46	-7.13	-3.72	DifMes
1.41	-2.81	3	DifMes
-10.33	-8.85	-5.31	DifMes
-3.25	-6.56	-1.16	DifMes
-4.26	-7.18	-1.4	DifMes
-5.68	-8.05	-3.2	DifMes
-9.07	-7.75	-1.9	DifMes
-3.72	-3.97	-0.48	DifMes
-5.86	-7.12	-4.48	DifMes
-8.66	-7.19	-2.9	DifMes
-9.17	-7.69	-3.17	DifMes
-5.54	-7.68	-0.82	DifMes
-4.99	-1.83	0.6	DifMes
-9.12	-8.8	-3.93	DifMes
-8.96	-7.48	-4.34	DifMes
2.29	1.74	4.35	DifMes
-5.13	-3.33	-0.42	DifMes
-7.63	-8.62	-5.34	DifMes
-8.76	-7.29	-5.19	DifMes
-8.22	-6.75	-4.65	DifMes
-3.72	-9.19	-0.32	DifMes
-4.34	-8.06	-2.84	DifMes
-9.99	-8.52	-3.14	DifMes
-4.18	-7.71	-2.37	DifMes
-5.18	-8.17	-3.1	DifMes
-5.47	-5.8	-1.47	DifMes
-9.56	-8.08	-4.84	DifMes
-6.54	-6.38	-1.92	DifMes
-8.89	-7.41	-1.26	DifMes
-9.34	-7.86	-3.91	DifMes
-8.14	-6.66	-3.47	DifMes
-7.74	-6.26	-2.93	DifMes
-7.97	-8.64	-3.12	DifMes
-8.41	-4.61	-1.09	DifMes
-9.29	-7.81	-4.31	DifMes
-0.76	-1.82	0.92	DifMes
-1.97	-2.3	-0.19	DifMes
-7.34	-9.6	-2.12	DifMes
-8.57	-7.09	-5.1	DifMes
-4.06	-9.29	-2.65	DifMes
-7.81	-6.33	-3	DifMes
-4.53	-6.53	-2.27	DifMes
-5.12	-8.19	-2.47	DifMes
-8.45	-6.97	-0.89	DifMes
-8.04	-6.56	-3.07	DifMes
-0.67	-2.44	0.94	DifMes
-3.49	-7.72	0.11	DifMes
-9.47	-7.99	-2.22	DifMes
-5.55	-7.68	-2.59	DifMes
-11.19	-9.71	-4.95	DifMes
0.85	-0.83	2.75	DifMes
-8.73	-7.25	-2.35	DifMes
-6.05	-6.31	-2.7	DifMes
-5.54	-4.36	-2.23	DifMes
-7.43	-4.49	-1.16	DifMes
-4.15	-7.91	-2.91	DifMes
-9.66	-8.18	-5.37	DifMes
-4.83	-7.82	-1.73	DifMes
2.06	0.59	3.67	DifMes
-8.16	-6.83	-2.76	DifMes
-2.11	-3.76	-0.32	DifMes
-7.87	-5.24	-2.68	DifMes
-3.87	-7.25	-1.99	DifMes
-9.36	-4.73	-2.75	DifMes
-7.93	-6.45	-3.77	DifMes
-3.82	-6.81	-2.3	DifMes
-8.16	-6.68	-3.35	DifMes
-7.73	-7.4	-5.12	DifMes
-2.77	-4.04	0.36	DifMes
-8.72	-7.24	-5.04	DifMes
-9.04	-7.56	-3.88	DifMes
-0.36	-1.47	0.95	DifMes
-2.35	-2.31	-0.32	DifMes
-7.25	-8.58	-2.87	DifMes
-5.23	-8.29	-2.68	DifMes
-8.74	-7.26	-5.07	DifMes
-4.38	-6.76	-2.56	DifMes
-3.94	-8.32	-2.56	DifMes
-8.9	-4.46	-0.8	DifMes
-6.84	-8.97	-3.89	DifMes
-6.18	-4.7	-1.37	DifMes
-7.4	-5.92	-2.21	DifMes
-9.14	-7.66	-3.76	DifMes
-8.34	-6.87	-3.49	DifMes
-6.84	-7.52	-3.77	DifMes
-1.88	-4.02	3.69	DifMes
-1.85	-3.3	2.54	DifMes
-7.94	-7.62	-3.45	DifMes
-7.64	-6.16	-2.97	DifMes
-7.92	-6.45	-3.35	DifMes
-8.15	-6.68	-3.53	DifMes
-4.56	-6.4	-2.47	DifMes
-6.38	-7.63	-3.35	DifMes
-1.96	-1.87	0.08	DifMes
-6.4	-7.4	-2.36	DifMes
-9.21	-7.73	-5.13	DifMes
-4.12	-6.88	-1.34	DifMes
-8.95	-7.47	-4.43	DifMes
-5.1	-7.94	-3.2	DifMes
-7.19	-5.71	-2.57	DifMes
-4.15	-2.52	-0.11	DifMes
0.57	-0.21	3.47	DifMes
-9.17	-7.69	-3.55	DifMes
-2.54	-5.65	-0.09	DifMes
-3.08	-7.34	-1.59	DifMes
-5.87	-7.54	-4.21	DifMes
-4.6	-6.86	-2.9	DifMes
-2.46	-4.72	-0.08	DifMes
-4.64	-7.57	-1.53	DifMes
-8.59	-7.11	-5.13	DifMes
-4.07	-3.23	1.1	DifMes
-2.09	-3.27	-0.03	DifMes
-2.38	-1.9	1.1	DifMes
-3.46	-8.13	-2.32	DifMes
-8.02	-6.54	-1.9	DifMes
-8.69	-9.53	-5.97	DifMes
0.2	-1.5	3.15	DifMes
-7.87	-8.54	-4.9	DifMes
-3.99	-3.09	-0.79	DifMes
-8.32	-6.84	-3.85	DifMes
-9.36	-7.88	-4.68	DifMes
-3.56	-3.61	4.66	DifMes
-7.04	-7.71	-2.93	DifMes
-7.37	-5.9	-1.57	DifMes
-9.02	-7.54	-4.12	DifMes
-4.72	-6.09	-1.95	DifMes
-8.03	-6.55	-0.35	DifMes
-8.84	-7.36	-4.98	DifMes
-5.18	-6.44	-3.25	DifMes
-0.63	-1.59	3.11	DifMes
-8.39	-6.91	-3.67	DifMes
-7.87	-5.24	-0.49	DifMes
-2.93	-7.16	-0.63	DifMes
-8.26	-6.78	-2.4	DifMes
-9.01	-7.53	-4.49	DifMes
-2.41	-5.13	0.04	DifMes
-6.82	-8.3	-3.99	DifMes
-7.97	-6.5	-3	DifMes
-8.85	-7.53	-5.54	DifMes
-8.22	-6.89	-3.96	DifMes
-2.91	-3.3	1.16	DifMes
-7.86	-6.38	-2.19	DifMes
-11	-9.52	-7.53	DifMes
-9.03	-7.55	-5.01	DifMes
-3.81	-5.29	-2.68	DifMes
-6.21	-4.73	-2.2	DifMes
1.05	-0.44	3.32	DifMes
-6.53	-5.06	-2.38	DifMes
-8.14	-6.67	-4.06	DifMes
-0.88	-0.99	1.24	DifMes
-8.23	-6.75	-1.71	DifMes
-10.15	-8.67	-4.34	DifMes
-9.26	-7.78	-3.68	DifMes
-0.75	-2.6	0.55	DifMes
-2.12	-2.89	-0.57	DifMes
-9.1	-7.62	-3.78	DifMes
-5.99	-8.12	-3.63	DifMes
-4.15	-3.67	1.34	DifMes
-1.39	-5.42	0	DifMes
-9.17	-7.54	-4.36	DifMes
-9.23	-7.6	-3.38	DifMes
-6.92	-7.18	-4.37	DifMes
-8.48	-7	-2.81	DifMes
-3.22	-5.25	-1.8	DifMes
-9.49	-6.86	-2.13	DifMes
-5.19	-6.45	-3.99	DifMes
1.04	-0.11	2.34	DifMes
-7	-7.25	-0.59	DifMes
-5.7	-6.7	-2.2	DifMes
-7.69	-6.21	-2.79	DifMes
-7.32	-5.85	-2.96	DifMes
-8.49	-7.01	-3.97	DifMes
-4.25	-5.51	-1.52	DifMes
-6.91	-5.43	-2.56	DifMes
-1.22	-2.26	1.08	DifMes
-8.44	-6.96	-4.22	DifMes
-7.41	-7.09	-2.89	DifMes
-8.38	-6.9	-4.29	DifMes
-7.97	-6.49	-1.49	DifMes
-7.24	-7.49	-3.48	DifMes
-7.57	-6.09	-3.99	DifMes
-8.6	-7.12	-5.13	DifMes
-6.96	-5.48	-2.39	DifMes
-0.19	-5.65	1.99	DifMes
-4.29	-6.13	-2.6	DifMes
-8.89	-7.56	-4.42	DifMes
-9.63	-8.16	-4.87	DifMes
-8.08	-6.6	-4.62	DifMes
-8.04	-4.98	-2.13	DifMes
-6.96	-5.48	-3.1	DifMes
-6.14	-8.4	-3.74	DifMes
-3.26	-6.18	-1.18	DifMes
-6.24	-4.76	-2.15	DifMes
-9.04	-7.56	-3.82	DifMes
1.24	-1.18	3.87	DifMes
-7.66	-6.19	-3.31	DifMes
1.62	-1.29	3.22	DifMes
-8.46	-6.98	-4.38	DifMes
-2.97	-4.89	-1.6	DifMes
-4.94	-5.93	-3.06	DifMes
-7.37	-5.9	-3.61	DifMes
-6.46	-7.14	-3.81	DifMes
-4.12	-4.96	-2.77	DifMes
-4.34	-6.48	-1.98	DifMes
-5.91	-6.96	-2.38	DifMes
-4.6	-2.53	-0.45	DifMes
-5.49	-4.26	-2.09	DifMes
2.52	0.26	7.91	DifMes
-4.87	-6.54	3.99	DifMes
-1.15	-5.07	1.02	DifMes
-1.61	-7.32	0.52	DifMes
-8.37	-7.04	-3.44	DifMes
-9.65	-8.17	-4.46	DifMes
-1.95	-3.14	-0.66	DifMes
-8.89	-7.41	-4.6	DifMes
-8.67	-7.19	-4.26	DifMes
-3.41	-7.17	-1.21	DifMes
-3.37	-7.17	-1.99	DifMes
-6.86	-5.39	-2.1	DifMes
-6.06	-7.32	-3.05	DifMes
-2.15	0.11	2.18	DifMes
-4.8	-4.17	-1.12	DifMes
-9.84	-8.36	-5.98	DifMes
-4.3	-8.73	-3.22	DifMes
-9.52	-7.89	-5.29	DifMes
-9.9	-8.42	-4.52	DifMes
-3.61	-6.68	-1.42	DifMes
-8.25	-6.77	-2.55	DifMes
-7.75	-6.27	-3.59	DifMes
-7.72	-6.24	-2.71	DifMes
-9.24	-7.76	-4.23	DifMes
-1.14	0.25	2.43	DifMes
-4.11	-7.91	-2.64	DifMes
-1.09	-2.03	1.02	DifMes
-9.49	-8.02	-3.44	DifMes
-8.33	-6.85	-3.48	DifMes
-1.92	-1.53	2.37	DifMes
-3.59	-4.37	-1.32	DifMes
-7.65	-6.17	-2.02	DifMes
-8.57	-7.1	-3.23	DifMes
-2.17	-0.24	2.15	DifMes
5.85	4.87	10.65	DifMes
-8.64	-7.16	-4.55	DifMes
-8.81	-7.33	-2.09	DifMes
-7.24	-7.5	-3.78	DifMes
-0.4	1.14	5.72	DifMes
2.52	0.81	5.56	DifMes
-3.35	-5.48	-1.67	DifMes
-9.81	-8.34	-5.88	DifMes
-4.02	-6.38	0.91	DifMes
-2.32	0.04	3.42	DifMes
-2.23	-6.51	0.03	DifMes
-0.44	-2.06	0.96	DifMes
-6.29	-4.81	-1.4	DifMes
-0.94	-0.54	2.47	DifMes
-6.29	-6.96	-3.35	DifMes
-8.29	-6.81	-3.35	DifMes
-9.2	-7.72	-3.51	DifMes
-7.98	-6.5	-0.63	DifMes
-8.23	-6.75	0.36	DifMes
-5.52	-6.51	-1.87	DifMes
-9.54	-5.91	-2.95	DifMes
-3.98	-6.74	-2.33	DifMes
-8.14	-6.66	-2.35	DifMes
-9.76	-8.28	-5.41	DifMes
-7.93	-6.46	-3.17	DifMes
-9.74	-8.26	-4.17	DifMes
-9.16	-7.69	-2.46	DifMes
-2.8	-3.78	0.06	DifMes
-6.24	-7.91	-1.73	DifMes
-7.67	-7.34	-3.73	DifMes
-6.2	-6.87	-1.73	DifMes
-3.24	-8.54	-1.89	DifMes
-0.46	-0.02	3.51	DifMes
-8.82	-7.35	-4.2	DifMes
-8.42	-6.95	-3.2	DifMes
0.26	-0.72	1.86	DifMes
-3.44	-8.45	-0.18	DifMes
-5.36	-7.84	-3.03	DifMes
-7.15	-3.94	2.5	DifMes
-2.97	-4.56	3.79	DifMes
-7.51	-7.19	-4.31	DifMes
-2.03	-7.68	-0.53	DifMes
-0.37	-7.36	1.6	DifMes
-7.55	-7.22	-0.76	DifMes
-6.01	-5.53	-1.75	DifMes
0.1	-1.02	1.51	DifMes
-9.82	-8.34	-0.28	DifMes
-8.36	-6.88	-4.21	DifMes
-1.43	-1.85	0.17	DifMes
-3.22	-4.89	-1.85	DifMes
3.66	2.36	7.2	DifMes
-8.71	-7.08	-2.55	DifMes
-2.93	-0.28	1.72	DifMes
-8.5	-7.02	-3.78	DifMes
-3.48	-7.44	-1.43	DifMes
-2.2	-1.44	0.85	DifMes
-1.67	-5.3	-0.03	DifMes
-2.56	-4.36	0.4	DifMes
-0.84	-0.22	1.75	DifMes
-4.02	-3.41	-1.32	DifMes
-4.1	-6.36	-2.83	DifMes
-7.56	-5.76	-0.46	DifMes
-9.35	-7.88	-3.76	DifMes
-1.27	-2.12	4.54	DifMes
-6.91	-6.58	-3.49	DifMes
-4.9	-8.09	-1.56	DifMes
-0.88	-3.68	2.46	DifMes
-7.12	-6.79	-2.26	DifMes
-5.51	-8.1	-2.55	DifMes
-8.4	-6.92	-4.83	DifMes
-4.5	-8.03	-3.35	DifMes
-9.3	-7.82	-5.83	DifMes
-9.81	-8.33	-4.4	DifMes
-0.19	-0.12	5.08	DifMes
-1.91	-3.06	-0.8	DifMes
-5.09	-8.28	-1.78	DifMes
-8.36	-6.88	-4.14	DifMes
-8.54	-7.06	-1.58	DifMes
-7.99	-6.51	-4.52	DifMes
-8.95	-7.48	-4.43	DifMes
-10.24	-8.76	-3.01	DifMes
-3.2	-4.16	-2	DifMes
-9.2	-7.72	-3.21	DifMes
-8.34	-6.86	-2.67	DifMes
-10.34	-8.87	-5.15	DifMes
2.43	3.2	5.49	DifMes
-2.65	-6.94	-0.86	DifMes
-7.13	-5.65	-0.25	DifMes
-7.9	-6.42	-2.25	DifMes
-7.14	-5.66	-2.52	DifMes
-3.45	-5.44	-0.78	DifMes
-2.42	-5.49	-0.69	DifMes
-4.47	-8.47	-3.23	DifMes
-3.81	-6.57	0.03	DifMes
-8.38	-6.9	-4.29	DifMes
2.43	1.58	3.54	DifMes
-3.92	-7.45	-2.52	DifMes
-4.32	-6.71	-1.64	DifMes
-3.17	-7.91	-1.63	DifMes
-7.77	-8.44	-5.63	DifMes
-8.83	-7.35	-4.61	DifMes
-3.79	-6.93	-2.25	DifMes
-9.2	-7.72	-5.43	DifMes
-4.3	-4.55	-0.68	DifMes
-9.3	-7.83	-5.73	DifMes
-4.6	-7.37	-2.2	DifMes
-7.86	-7.96	-5.37	DifMes
-3.1	-2.72	0.49	DifMes
-6.82	-8.49	-4.02	DifMes
-8.32	-8	-2.57	DifMes
-6.63	-7.63	-3.85	DifMes
-0.79	-1.21	1.08	DifMes
-1.3	-2.53	4.1	DifMes
-3.27	-2.32	2.24	DifMes
-5.98	-7.46	-1.89	DifMes
-3.57	-5.45	-0.99	DifMes
-2.07	-6.18	0.37	DifMes
-4.77	-7.35	-3.2	DifMes
-7.76	-6.28	-1.49	DifMes
-8.01	-6.54	-4.08	DifMes
-5.6	-7.59	-2.74	DifMes
-8.67	-7.19	-3.23	DifMes
-2.24	-3.36	-0.84	DifMes
-1.81	-5.46	0.32	DifMes
4.22	4.1	8.29	DifMes
-9.86	-8.39	-5.51	DifMes
-3.65	-7.6	-2.16	DifMes
-2.01	-6.92	0.98	DifMes
2	1.36	3.46	DifMes
-5.32	-8.8	-3.6	DifMes
-3.14	-2.74	-0.31	DifMes
-6.6	-5.12	-1.75	DifMes
-4.74	-4.85	-2.72	DifMes
-5.58	-5.83	-2.26	DifMes
-6.03	-9.1	-3.8	DifMes
-6.85	-9.11	-2.25	DifMes
-8.82	-7.34	-1.01	DifMes
-8.04	-6.56	-1.56	DifMes
-8.27	-6.8	-4.81	DifMes
-8.75	-7.27	-3.23	DifMes
-4.18	-6.86	-3.05	DifMes
0.71	1.13	3.28	DifMes
1.98	0.68	4.12	DifMes
-7.95	-6.47	-3.23	DifMes
1.02	-5.43	4.57	DifMes
-6.64	-10.44	-5.05	DifMes
1.76	0.9	3.4	DifMes
-9.07	-7.6	-2.48	DifMes
-7.87	-6.39	-2.61	DifMes
0.8	1.85	5.78	DifMes
-9.04	-2.37	0.02	DifMes
-10.62	-9.14	-4.26	DifMes
-8.35	-6.87	-4.06	DifMes
-5.79	-8.79	-3.83	DifMes
-0.63	-0.99	0.97	DifMes
-8.35	-8.61	-6.15	DifMes
-8.13	-6.65	-3.41	DifMes
-4.27	-7.03	-0.29	DifMes
-5.37	-6.05	-3.51	DifMes
-3.18	-4.09	-1.5	DifMes
-2.63	-6.82	-1.19	DifMes
-7.73	-6.25	-2.64	DifMes
-3.32	-4.8	-2.06	DifMes
-8.79	-7.31	-4.5	DifMes
-7.65	-6.17	-3.13	DifMes
-8.22	-6.74	-4	DifMes
1.89	1.26	3.22	DifMes
-5.86	-4.38	-1.77	DifMes
-9.39	-7.91	-3.46	DifMes
-4.63	-8.3	-0.77	DifMes
-9.09	-7.62	-3.6	DifMes
-6.38	-6.64	-0.66	DifMes
-8.56	-7.08	-3.01	DifMes
-9.12	-7.64	-5.65	DifMes
-8.5	-5.02	-1.12	DifMes
-1.13	-7.31	3.7	DifMes
2.59	2.98	6.09	DifMes
-1.91	-2.88	-0.7	DifMes
-7.6	-7.86	-4.49	DifMes
-5.24	-4.5	-1.87	DifMes
-5.14	-6.98	-2.14	DifMes
-10.19	-8.56	-3.23	DifMes
-7.42	-8.09	-6.11	DifMes
2.08	1.85	4.13	DifMes
-1.21	-2.19	1.84	DifMes
-6.63	-2.91	-0.85	DifMes
-4.45	-5.12	-1.48	DifMes
-9.62	-8.14	-4.95	DifMes
-7.85	-6.37	-2.02	DifMes
0.62	1.24	4.78	DifMes
-3.2	-4.65	-0.93	DifMes
-5.39	-8.15	-1.96	DifMes
-2.55	-4.78	-0.56	DifMes
-8.97	-7.49	-3.14	DifMes
-7.64	-3.25	-0.84	DifMes
-6.7	-7.7	-0.45	DifMes
-10.07	-8.44	-0.28	DifMes
-5.69	-6.8	-2.42	DifMes
-8.25	-7.92	0.69	DifMes
-6.32	-7.31	-2.57	DifMes
-8.02	-6.54	-2.97	DifMes
-7.22	-7.47	-3.9	DifMes
-8.32	-6.84	-2.97	DifMes
-4.53	-7.38	-2.36	DifMes
0.63	0.53	3	DifMes
-4.86	-4.96	-1.69	DifMes
-3.53	-6.59	1.06	DifMes
-6.25	-4.77	4.8	DifMes
-7.53	-6.05	-2.45	DifMes
-9.27	-7.79	-5.5	DifMes
-2.44	-5.13	1.9	DifMes
-7.12	-7.79	-4.05	DifMes
-2.26	-3.45	-1.07	DifMes
-5.82	-4.35	-2.36	DifMes
-8.22	-6.74	-4.55	DifMes
-2.4	-1.82	0.16	DifMes
-7	-6.33	-2.71	DifMes
-0.73	-4.27	0.69	DifMes
-6.29	-5.32	-1.06	DifMes
-8.61	-7.13	-3.56	DifMes
-3.03	-5.2	-1.37	DifMes
-5.06	-7.32	-2.08	DifMes
-2.12	-2.35	0.38	DifMes
-8.82	-7.35	-3.93	DifMes
-9.35	-7.87	-4.94	DifMes
-2.44	-1.91	0.48	DifMes
-5.99	-4.52	-2.06	DifMes
-7.62	-6.14	-3.21	DifMes
-7.88	-6.4	-2.87	DifMes
-3.03	-5.87	-1.61	DifMes
-4.41	-4.48	-1.4	DifMes
-8.09	-6.61	-2.77	DifMes
-5.86	-7.7	-3.5	DifMes
-8.64	-7.16	-3.52	DifMes
-7.58	-6.11	-3.82	DifMes
-1.39	-5.52	0.02	DifMes
-7.88	-6.4	-1.19	DifMes
-0.48	-3.04	0.74	DifMes
-8.21	-6.73	-4.75	DifMes
-9.38	-7.9	-4.48	DifMes
0.12	-0.93	1.23	DifMes
-2.97	-5.45	-1.44	DifMes
-3.05	-7.42	-1.21	DifMes
-1.5	-1.34	0.69	DifMes
-9.64	-8.16	-5.88	DifMes
-5.55	-4.22	-1.94	DifMes
-10.46	-7.39	-5.35	DifMes
-4.36	-4.47	-2.39	DifMes
-6.9	-5.43	-2.68	DifMes
-8.31	-6.83	-0.51	DifMes
-5.91	-3.26	1.15	DifMes
-5.4	-7.39	0.33	DifMes
-8.77	-7.29	-2.43	DifMes
-9.04	-7.56	-2.42	DifMes
-7.05	-5.57	-2.76	DifMes
-9.8	-8.32	-5.39	DifMes
-1.18	0.52	2.83	DifMes
0.65	0.26	2.74	DifMes
-4.26	-5.78	-2.44	DifMes
-1.27	-5.6	-0.09	DifMes
1.63	1.2	3.94	DifMes
-8.24	-6.76	-3.77	DifMes
-6.88	-5.4	-1.86	DifMes
-3.2	-7.01	1.12	DifMes
3.64	3.01	5.75	DifMes
-7.55	-6.08	-1.45	DifMes
-2.09	-7.03	-0.83	DifMes
-8	-6.52	-4.38	DifMes
-1.77	-6.15	-0.2	DifMes
-1.3	-2.98	0.49	DifMes
-10.1	-8.47	-2.63	DifMes
-3.18	-7.92	0.87	DifMes
-0.04	-0.51	2.52	DifMes
-7.53	-6.05	-1.74	DifMes
-9.54	-8.06	-3.7	DifMes
-7.82	-6.34	-2.92	DifMes
-7.73	-6.25	-2.96	DifMes
-0.85	-1.08	0.92	DifMes
-3.22	-5.98	0.3	DifMes
-8.13	-6.66	-2.32	DifMes
1.2	-2.93	2.31	DifMes
-5.31	-4.05	1.71	DifMes
-10.13	-8.65	-5.04	DifMes
-8.67	-2.95	-0.29	DifMes
0.95	-1.03	3.53	DifMes
-8.93	-7.45	-3.46	DifMes
-4.24	-6.91	-0.22	DifMes
-8.64	-7.17	-1.4	DifMes
-9.65	-8.18	-4.85	DifMes
-8.59	-7.11	-3.36	DifMes
-7.79	-7.47	-4.66	DifMes
-0.07	0.1	3.82	DifMes
-9.15	-7.67	-5.58	DifMes
-1.96	-5.38	-0.45	DifMes
-8.87	-7.39	-2.67	DifMes
-6.15	-7.83	-4.02	DifMes
-7.17	-5.69	-1.98	DifMes
-7.7	-6.22	-2.26	DifMes
-4.53	-7.22	-2.11	DifMes
-2.94	-4.25	-0.15	DifMes
-8.34	-6.86	-4.18	DifMes
-3.52	1.18	3.99	DifMes
-3.68	-7.31	-1.93	DifMes
-8.57	-7.09	-4	DifMes
-9.67	-8.19	-1.68	DifMes
-6.77	-8.61	-4.22	DifMes
-6.12	-4.65	-1	DifMes
