gene	chr	start	end	ecto	endo	meso	min_dist	Len	percCG	percGC	percC	percCHG	set	thrE	thrGE	set_ds	log.dist
Dctd	8	48099092	48153233	6.561634	5.396042	6.69647	108549	54141	3.1	45.8	16	6	DifM	-12	ALL GE	DEG	5.035629827790439
Cdh8	8	99024471	99416471	-0.21014611	-7.084636	0.90155524	90299	392000	1	36.7	15	4	DifM	-12	ALL GE	DEG	4.955687750313506
Pcolce2	9	95637601	95698096	4.210471	1.8811481	4.794423	629	60495	2.6	44.4	16	5	DifM	-12	ALL GE	DEG	2.7993405494535817
Cdv3	9	103353102	103365780	10.198005	9.350654	10.221632	57798	12678	4.1	43.9	17	6	DifM	-12	ALL GE	DEG	4.761920324610169
Trank1	9	111311739	111395774	-1.1986505	-6.932633	-0.18513829	39894	84035	2	43.7	16	5	DifM	-12	ALL GE	DEG	4.600918469409103
Rpf2	10	40223246	40246979	7.8295627	6.8777375	7.834713	10686	23733	2.1	43.2	17	6	DifM	-12	ALL GE	DEG	4.028855809390444
Gja1	10	56377300	56390419	9.505377	8.630146	9.741028	22226	13119	3.7	44	15	5	DifM	-12	ALL GE	DEG	4.346880849502073
Nxph4	10	127525473	127534559	0.5175566	-3.4732013	1.8493159	12115	9086	5.7	55.8	17	7	DifM	-12	ALL GE	DEG	4.083359264660818
Odz2	11	36006656	37235964	-0.5465739	-4.932633	0.9794497	1155300	1229308	1.7	40.9	16	5	DifM	-12	ALL GE	DEG	6.062695149257129
Hand1	11	57828705	57832818	2.8752785	-0.5403156	5.612141	31181	4113	7.1	54.2	17	7	DifM	-12	ALL GE	DEG	4.493903967206503
Gp1ba	11	70639122	70642036	-3.0060053	-6.932633	0.2450742	8357	2914	1.6	51.7	24	7	DifM	-12	ALL GE	DEG	3.922102366807607
Cbx2	11	119022962	119031270	5.8653865	5.031708	6.1893754	18007	8308	6	57.1	18	8	DifM	-12	ALL GE	DEG	4.255465481992464
Mycn	12	12936096	12941914	7.465444	5.183711	7.605857	29928	5818	8.4	52.8	17	6	DifM	-12	ALL GE	DEG	4.476092206257591
Egln3	12	54178981	54203860	4.3905993	3.4661105	5.266546	452712	24879	3.3	45.9	17	6	DifM	-12	ALL GE	DEG	5.655822965772482
Cap2	13	46501848	46649642	2.534876	0.5830667	4.7980103	83548	147794	2.5	44.9	17	5	DifM	-12	ALL GE	DEG	4.921941256179369
Sfxn1	13	54071845	54108346	8.074516	7.5564623	8.422404	16187	36501	3	45.3	16	6	DifM	-12	ALL GE	DEG	4.209193195719529
F2r	13	95601804	95618459	5.7352743	5.093199	6.623267	93219	16655	3.9	46.9	16	6	DifM	-12	ALL GE	DEG	4.969509098596567
Gdf10	14	33923587	33935280	-1.8905281	-5.3476706	0.82787865	17452	11693	3.6	50.2	18	7	DifM	-12	ALL GE	DEG	4.241870088685619
Apex1	14	50924968	50927139	8.949362	8.141341	8.941956	75	2171	6.6	49.4	17	6	DifM	-12	ALL GE	DEG	1.8808135922807914
Sacs	14	61138457	61240695	3.6514122	1.828918	4.5259905	91602	102238	2.1	43.3	16	5	DifM	-12	ALL GE	DEG	4.961909697053339
Dpysl2	14	66802864	66868688	8.013315	6.3840723	7.9894857	162	65824	2.7	47.6	19	6	DifM	-12	ALL GE	DEG	2.2121876044039577
Pdlim2	14	70164218	70177681	3.6905756	1.8322384	6.3113565	18179	13463	3.2	53.6	20	7	DifM	-12	ALL GE	DEG	4.259593878885949
Gspt1	16	11219292	11254270	7.731242	6.9708724	7.7826147	50939	34978	2.1	40.7	16	5	DifM	-12	ALL GE	DEG	4.707058940627596
Snai2	16	14705852	14709395	-1.1759304	-7.084636	0.34805623	143536	3543	3.3	42.4	15	6	DifM	-12	ALL GE	DEG	5.156963865004413
Galnt14	17	73493228	73710453	1.9481909	-1.1252782	4.729721	70233	217225	1.8	45.5	18	5	DifM	-12	ALL GE	DEG	4.846547403265474
Colec12	18	9707648	9877995	5.676404	5.2167964	6.409598	19022	170347	1.1	41.6	16	5	DifM	-12	ALL GE	DEG	4.279279007906624
Cdc23	18	34630951	34651735	8.115204	7.644264	8.38272	27111	20784	2.5	44.4	17	6	DifM	-12	ALL GE	DEG	4.433161555829322
Pmaip1	18	66458604	66465550	6.4393544	5.631278	7.330133	167330	6946	4.2	43.2	13	5	DifM	-12	ALL GE	DEG	5.223576406483984
Tubb6	18	67390717	67402748	6.624767	5.268878	6.811043	47153	12031	4.3	48.3	15	6	DifM	-12	ALL GE	DEG	4.673518539157006
Fads2	19	10064164	10101503	5.1369524	4.2633543	6.0088	59955	37339	2.4	48.4	17	6	DifM	-12	ALL GE	DEG	4.777832650929498
Dock11	X	35888832	36076562	6.694916	5.9386945	7.5859222	223278	187730	1.4	39.5	15	4	DifM	-12	ALL GE	DEG	5.348847878409567
Cdx4	X	103321398	103330592	-0.700197	-7.084636	2.1797304	35078	9194	2.4	41.8	16	5	DifM	-12	ALL GE	DEG	4.545047204401184
Rps6ka6	X	111388192	111537959	7.652553	6.928648	7.9108086	159120	149767	1	34.8	15	4	DifM	-12	ALL GE	DEG	5.20172749945975
Pcdh11x	X	120290259	120910619	-0.34304047	-4.3476706	1.2156638	363063	620360	0.8	34.6	15	4	DifM	-12	ALL GE	DEG	5.559983188112959
Jph1	1	16994938	17097889	2.2649388	1.375706	1.4483949	47473	102951	1.4	40.3	16	5	Sim	-12	ALL GE	SEG	4.676455825456324
Rab23	1	33719882	33742564	5.395111	4.61667	5.180259	37912	22682	3.6	46	15	6	Sim	-12	ALL GE	SEG	4.578788150870558
Tbc1d8	1	39371499	39478747	6.153866	6.1926193	6.0115957	56245	107248	2.7	47.3	18	6	Sim	-12	ALL GE	SEG	4.750091642522122
D1Bwg0212e	1	39534992	39546881	5.2398114	5.3952003	5.035463	17010	11889	4.1	46	15	6	Sim	-12	ALL GE	SEG	4.230729844577681
Map4k4	1	39900913	40026310	6.004911	6.1814346	5.785137	95581	125397	2.9	45.7	15	6	Sim	-12	ALL GE	SEG	4.980376113649479
Tmem194b	1	52630705	52651919	3.7555459	4.013542	2.937029	96757	21214	2.2	43.3	15	6	Sim	-12	ALL GE	SEG	4.985686882861187
Kctd18	1	57955101	58018956	5.3793774	5.130425	5.2150445	22985	63855	1.8	41.2	16	5	Sim	-12	ALL GE	SEG	4.361463402366721
Mpp4	1	59120936	59163389	2.285549	1.9802562	1.708617	43293	42453	2	44.1	16	6	Sim	-12	ALL GE	SEG	4.6364277128095726
Akr1cl	1	65012689	65032759	-2.4754908	-4.932633	-2.3463721	18390	20070	1.5	40.3	15	5	Sim	-12	ALL GE	SEG	4.264605344391663
1810031K17Rik	1	75134554	75142368	3.6921206	4.4709115	4.053815	418	7814	3.2	49	18	7	Sim	-12	ALL GE	SEG	2.622214022966295
Fam134a	1	75142786	75147909	3.9750862	4.199224	3.8712254	418	5123	4.1	52.7	17	7	Sim	-12	ALL GE	SEG	2.622214022966295
Atg9a	1	75180866	75191923	4.0456567	3.7798939	4.151318	228	11057	3.5	52.2	17	7	Sim	-12	ALL GE	SEG	2.359835482339888
Dnajb2	1	75236465	75244804	-0.006005389	2.2247138	1.0588841	4372	8339	4.6	51.9	18	7	Sim	-12	ALL GE	SEG	3.640779477344857
Sh3bp4	1	89070415	89155068	5.9413877	5.812411	5.103167	368194	84653	3	49.3	16	6	Sim	-12	ALL GE	SEG	5.5660778865928915
Gpr39	1	125676995	125873862	0.09085609	0.73270273	-0.30789813	115979	196867	1.5	44.2	17	5	Sim	-12	ALL GE	SEG	5.0643831044121965
R3hdm1	1	128103306	128237735	6.686804	6.0300817	6.5764327	259	134429	1.1	37.3	14	4	Sim	-12	ALL GE	SEG	2.4149733479708178
Ptpn7	1	135132725	135145320	-4.3685756	-1.6472309	-1.1211973	14099	12595	2.5	49.9	18	6	Sim	-12	ALL GE	SEG	4.14921911265538
Arl8a	1	135146824	135156269	2.260781	2.1811092	2.1201315	6139	9445	4.2	51	18	7	Sim	-12	ALL GE	SEG	3.788168371141168
Edem3	1	151755374	151822328	4.3637133	4.6161885	4.4018207	184188	66954	1.8	40.4	15	5	Sim	-12	ALL GE	SEG	5.265263690019628
Klhl20	1	161088375	161131511	3.6679907	3.8222542	4.108177	11180	43136	1.7	40.4	16	5	Sim	-12	ALL GE	SEG	4.048480647473502
Gpr161	1	165301863	165322930	-0.5465739	0.518578	-0.6310131	64920	21067	3	49.2	17	6	Sim	-12	ALL GE	SEG	4.812385200789701
Adcy10	1	165485183	165576774	-2.0466473	-3.610705	-3.5558255	24146	91591	1.9	43.7	17	5	Sim	-12	ALL GE	SEG	4.382863182111264
Cd247	1	165788681	165877276	3.2534764	2.881148	3.0111794	7606	88595	2.6	46.7	17	6	Sim	-12	ALL GE	SEG	3.881213416255019
Dusp12	1	170873498	170885540	4.6005025	4.321214	4.7515173	16895	12042	3.2	43.7	17	6	Sim	-12	ALL GE	SEG	4.227783900853718
Alyref2	1	171503478	171504750	1.1683655	-0.26020774	1.3689868	633	1272	10.2	50.6	11	7	Sim	-12	ALL GE	SEG	2.802089257881733
Dcaf8	1	172148015	172196393	6.6763067	6.672731	6.7462425	21260	48378	2.2	42.9	15	5	Sim	-12	ALL GE	SEG	4.327583687481179
Atp1a2	1	172271709	172298064	0.10019392	1.5791196	2.230444	31199	26355	3.1	49.7	18	6	Sim	-12	ALL GE	SEG	4.494154594018442
Pld5	1	175962306	176275312	-1.2217342	-7.084636	-1.3759165	296198	313006	1.4	41.4	16	5	Sim	-12	ALL GE	SEG	5.471583587962317
CAAA01083517.1	1	183326725	183369529	6.1509204	6.5540767	6.4740653	19452	42804	3	43.6	16	6	Sim	-12	ALL GE	SEG	4.288986586791629
Eprs	1	185363095	185428355	9.062847	8.450632	8.915103	30946	65260	2.1	42	15	5	Sim	-12	ALL GE	SEG	4.490618554920131
Rps6kc1	1	190700202	190911770	3.7999175	3.9323268	3.8688657	13342	211568	2.4	46.6	18	6	Sim	-12	ALL GE	SEG	4.125253486024798
Atf3	1	191170296	191183340	-4.854002	-1.099743	-1.855386	18523	13044	3.2	48.3	19	6	Sim	-12	ALL GE	SEG	4.267734772321856
Rd3	1	191977373	191988282	-2.9280028	-0.76270807	-3.970863	70606	10909	2.6	51	18	7	Sim	-12	ALL GE	SEG	4.84884775927662
Otud1	2	19658062	19660590	1.4052701	1.186308	1.4228848	21076	2528	11.9	52.3	14	8	Sim	-12	ALL GE	SEG	4.323808795527016
Pnpla7	2	24976033	25054057	2.3298812	2.4831088	2.5356097	935	78024	1.9	46.4	17	6	Sim	-12	ALL GE	SEG	2.971275848738105
Nelf	2	25054355	25062881	4.2690845	4.874722	4.831788	25949	8526	4.1	57.3	20	8	Sim	-12	ALL GE	SEG	4.414137362184476
Rexo4	2	26953563	26964386	6.292184	5.965401	6.245883	9030	10823	2.5	48.4	18	7	Sim	-12	ALL GE	SEG	3.9557358422776656
Slc2a6	2	27021363	27027998	-0.517719	-0.5575937	-1.1721213	9287	6635	3.4	55.8	18	8	Sim	-12	ALL GE	SEG	3.9679222067305173
Ppp1r26	2	28446800	28455508	2.7912958	2.88275	2.5792422	19532	8708	4.9	53.9	17	8	Sim	-12	ALL GE	SEG	4.290768950066559
Nup188	2	30286397	30344266	6.426884	6.2916703	6.3203554	43	57869	2.4	46.3	16	6	Sim	-12	ALL GE	SEG	1.6434526764861874
Mrrf	2	36136389	36190647	5.555813	4.948481	5.4776835	384	54258	1.8	42.6	15	6	Sim	-12	ALL GE	SEG	2.5854607295085006
Rc3h2	2	37370069	37422903	5.6117682	5.732925	5.5095906	20268	52834	1.3	36.7	15	4	Sim	-12	ALL GE	SEG	4.306832322684375
Stam2	2	52691664	52742281	4.830045	5.0450044	5.0256104	115579	50617	2.3	41.9	16	6	Sim	-12	ALL GE	SEG	5.0628826901303645
Baz2b	2	59899363	60209839	4.969046	5.8696814	5.8613677	172698	310476	2.1	40.9	16	5	Sim	-12	ALL GE	SEG	5.237289822826641
Scn2a1	2	65620857	65767447	0.003978659	0.38024983	-0.21597569	111592	146590	1.5	38.8	15	4	Sim	-12	ALL GE	SEG	5.0476369530538925
Fastkd1	2	69686815	69713516	4.785881	3.4862738	4.805844	9029	26701	2.7	42.6	16	5	Sim	-12	ALL GE	SEG	3.9556877503135057
Gorasp2	2	70661576	70712636	6.7460966000000004	7.13841	7.15525	108504	51060	2.5	45.5	16	6	Sim	-12	ALL GE	SEG	5.035449751294015
Slc25a12	2	71271063	71367749	3.2302744	2.5830667	3.2483056	21209	96686	2.4	43.2	16	5	Sim	-12	ALL GE	SEG	4.326540668516562
Dfnb59	2	76648476	76658556	-1.8905281	-2.4732015	-1.0800922	461	10080	2.7	41.7	14	4	Sim	-12	ALL GE	SEG	2.6646419755561257
Zc3h15	2	83644435	83664622	7.5199504	7.1884956	7.5306835	56681	20187	2.4	39.2	14	5	Sim	-12	ALL GE	SEG	4.7534451657398495
Fam171b	2	83812636	83883486	4.448865	4.2913685	3.2308524	52771	70850	2	41.1	16	5	Sim	-12	ALL GE	SEG	4.722403553765987
Mtch2	2	90847155	90866810	8.806573	8.5941105	8.640345	38705	19655	2.1	41.5	15	5	Sim	-12	ALL GE	SEG	4.587778292277694
Celf1	2	90940382	91019497	8.440273	8.095057	8.432759	22124	79115	1.4	40.9	15	5	Sim	-12	ALL GE	SEG	4.344883279369863
Trim44	2	102300119	102407828	5.4500065	5.046792	5.790619	43964	107709	1.2	39.6	16	5	Sim	-12	ALL GE	SEG	4.6431070774941166
Lmo2	2	103957986	103981878	0.96362096	3.808834	3.5989926	45962	23892	3.3	46.6	17	6	Sim	-12	ALL GE	SEG	4.662408367294865
Ccdc73	2	104867805	105017904	3.4230525	3.3631358	3.4110403	17929	150099	1.3	38.7	15	5	Sim	-12	ALL GE	SEG	4.253580289562183
Eif3m	2	104999656	105017080	9.078766	8.7441225	8.971773	109430	17424	2	39.5	16	5	Sim	-12	ALL GE	SEG	5.03914036790068
Rcn1	2	105386291	105399319	6.7763557	7.191892	7.190715	77182	13028	3	47.9	19	6	Sim	-12	ALL GE	SEG	4.887521655009214
Kif18a	2	109280738	109341747	5.990233	5.630325	5.3197317	10	61009	1.3	36.8	14	4	Sim	-12	ALL GE	SEG	1.0413926851582251
Ino80	2	119373042	119477687	4.379138	3.842977	4.049654	69940	104645	1.6	40.9	16	5	Sim	-12	ALL GE	SEG	4.8447318374581725
Mfap1a	2	121491911	121506665	4.6037893	4.6414876	4.6366215	58	14754	2.4	44.8	18	6	Sim	-12	ALL GE	SEG	1.7708520116421442
Usp8	2	126707328	126759297	6.3345866	6.475829	6.5989923	30991	51969	1.9	41.2	15	5	Sim	-12	ALL GE	SEG	4.491249603375036
Mal	2	127633226	127656695	-0.800891	-0.45689973	-2.970863	35204	23469	2.2	48.1	18	6	Sim	-12	ALL GE	SEG	4.546604348654274
Ebf4	2	130295169	130370481	-3.4754908	-0.9326331	-2.9411159	10622	75312	2.6	46.8	18	6	Sim	-12	ALL GE	SEG	4.026247181477774
Rnf24	2	131298064	131352892	2.9952464	3.8163981	3.3980072	54347	54828	1.7	42	16	5	Sim	-12	ALL GE	SEG	4.735183566730582
5730494N06Rik	2	132239492	132247807	4.5357366	5.0226536	5.0299582	5507	8315	2.7	42.6	17	5	Sim	-12	ALL GE	SEG	3.740993931584886
Rrbp1	2	143947395	144011263	6.8753633	7.0429463	6.4898486	21796	63868	2	47	19	6	Sim	-12	ALL GE	SEG	4.3383967241962615
Csnk2a1	2	152226839	152281852	8.921464	8.682307	8.953153	66989	55013	1.7	41.5	14	5	Sim	-12	ALL GE	SEG	4.8260099777911005
Tbc1d20	2	152293828	152313996	4.33236	4.7901745	4.7764907	38825	20168	2.5	47	16	6	Sim	-12	ALL GE	SEG	4.5891226502058515
Raly	2	154791096	154867261	8.443946	8.094064	8.4345	306	76165	1.5	41.5	15	5	Sim	-12	ALL GE	SEG	2.4871383754771865
Edem2	2	155701677	155729475	4.596384	5.2366657	4.867684	6391	27798	2.9	47.4	17	6	Sim	-12	ALL GE	SEG	3.805636766305935
Gdap1l1	2	163438476	163455324	4.252953	1.3847796	3.669984	13779	16848	3.1	51.9	18	7	Sim	-12	ALL GE	SEG	4.139249217571607
Ywhab	2	163994960	164018588	9.019269	8.827308	9.023733	30490	23628	3	45	15	6	Sim	-12	ALL GE	SEG	4.484171667965255
Wfdc13	2	164685107	164687706	-1.5320742	-2.932633	-2.1982737	11020	2599	2.9	46.8	19	6	Sim	-12	ALL GE	SEG	4.042221002390382
Sall4	2	168748332	168767943	9.3042755	9.220681	9.030582	1800	19611	5.7	50.1	17	6	Sim	-12	ALL GE	SEG	3.2555137128195333
Gm14306	2	176670522	176719085	1.071997	-0.28877687	1.183955	34178	48563	1.2	41.2	15	5	Sim	-12	ALL GE	SEG	4.533759352099315
9030418K01Rik	2	178414524	178424428	1.8380901	0.41609514	1.2107033	52	9904	3.4	47.8	16	7	Sim	-12	ALL GE	SEG	1.724275869600789
Zbtb46	2	181387762	181459426	3.001489	3.0883466999999998	2.9920328	33780	71664	1.9	45.1	17	6	Sim	-12	ALL GE	SEG	4.528672501601294
Mrps28	3	8802146	8923918	6.6637654	6.7077246	6.758616	80805	121772	2	42.2	17	5	Sim	-12	ALL GE	SEG	4.9074436091675
Pde7a	3	19223108	19311322	5.629209	5.5410724	5.788054	83542	88214	1.9	41.5	16	5	Sim	-12	ALL GE	SEG	4.9219100665725355
Prkci	3	30995747	31052741	5.4207253	5.224398	5.581806	26332	56994	2.4	42.8	15	5	Sim	-12	ALL GE	SEG	4.4205003391374795
Acad9	3	36065979	36094944	6.342108	5.912857	6.3793855	12432	28965	2.4	47.1	17	6	Sim	-12	ALL GE	SEG	4.094575933649249
Bbs7	3	36573142	36613477	3.3815331	4.642433	4.0771694	41327	40335	1.7	40.3	16	5	Sim	-12	ALL GE	SEG	4.616244388829242
Ankrd50	3	38449261	38484844	4.9194665	4.9892077	4.3619194	376922	35583	2.7	45.1	17	6	Sim	-12	ALL GE	SEG	5.576252639090141
Rab33b	3	51483966	51495905	2.8127542	3.1131268	2.7666657	67950	11939	3.8	46.1	15	6	Sim	-12	ALL GE	SEG	4.832195852404587
Ufm1	3	53855212	53863830	5.962981	6.1511784	6.09315	18744	8618	3.1	42.7	16	5	Sim	-12	ALL GE	SEG	4.27288544475757
Rap2b	3	61364507	61368703	5.7817154	5.288954	5.6438465	1444	4196	7.1	48.1	13	6	Sim	-12	ALL GE	SEG	3.1598678470925665
Dhx36	3	62470039	62507004	6.6438494	6.426979	6.499287	98136	36965	1.6	37.1	15	4	Sim	-12	ALL GE	SEG	4.9918327776783205
Kpna4	3	69067149	69127113	6.667794	6.0761456	6.066855	4120	59964	1.4	37	16	4	Sim	-12	ALL GE	SEG	3.615002614524588
B3galnt1	3	69574186	69598861	2.2355807	2.9951448	3.7405171	118532	24675	2.4	44.7	17	6	Sim	-12	ALL GE	SEG	5.073839276276229
Serpini1	3	75557547	75643495	2.3098989	1.0098814	1.5329626	691	85948	1.1	37.6	15	4	Sim	-12	ALL GE	SEG	2.840106094456758
Cd1d1	3	86995834	86999441	1.5689033	0.9802562	0.76835483	12855	3607	2.5	47.1	18	6	Sim	-12	ALL GE	SEG	4.109105863755288
Gon4l	3	88835231	88910103	5.4047995	5.3356166	5.5080748	60067	74872	2	43.8	16	6	Sim	-12	ALL GE	SEG	4.778643172093456
Ash1l	3	88965812	89079373	5.5363817	5.750142	5.5454936	14631	113561	1.5	40.8	15	5	Sim	-12	ALL GE	SEG	4.165303692468361
Clk2	3	89164795	89176921	4.988348	4.7995343	4.7596073	4599	12126	3.9	47.9	16	6	Sim	-12	ALL GE	SEG	3.662757831681574
Ubap2l	3	89999589	90052475	8.227248	7.786702	8.301049	839	52886	1.2	39.2	16	5	Sim	-12	ALL GE	SEG	2.9242792860618816
Ints3	3	90391380	90433636	6.3964143	6.4705124	6.3575783	32230	42256	2	47	17	6	Sim	-12	ALL GE	SEG	4.508273780155357
